,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence,0
0,0.316,https://api.spotify.com/v1/audio-analysis/6GoFm9E3Nkjve72dwOhmXj,Zeca Pagodinho,0.75,168893.0,0.689,6GoFm9E3Nkjve72dwOhmXj,0.0,0.0,0.0503,-6.701,1.0,Camarão Que Dorme A Onda Leva,0.0687,106.236,4.0,https://api.spotify.com/v1/tracks/6GoFm9E3Nkjve72dwOhmXj,audio_features,spotify:track:6GoFm9E3Nkjve72dwOhmXj,0.681,
1,0.559,https://api.spotify.com/v1/audio-analysis/5KDgtCIqnrnIb9thLNFc3j,Grupo Fundo De Quintal,0.445,296067.0,0.84,5KDgtCIqnrnIb9thLNFc3j,0.0,5.0,0.737,-10.82,1.0,A Batucada Dos Nossos Tantãs / Do Fundo Do Nosso Quintal,0.133,111.645,4.0,https://api.spotify.com/v1/tracks/5KDgtCIqnrnIb9thLNFc3j,audio_features,spotify:track:5KDgtCIqnrnIb9thLNFc3j,0.601,
2,0.35,https://api.spotify.com/v1/audio-analysis/1MnbzON2M0Md10P9BJZElG,"Diogo Nogueira, Martinho da Vila, Zeca Pagodinho, Jorge Aragão & Dona Ivone Lara",0.666,241759.0,0.703,1MnbzON2M0Md10P9BJZElG,3.12e-06,9.0,0.233,-8.157,0.0,Poder da Criação,0.049,92.031,4.0,https://api.spotify.com/v1/tracks/1MnbzON2M0Md10P9BJZElG,audio_features,spotify:track:1MnbzON2M0Md10P9BJZElG,0.889,
3,0.415,https://api.spotify.com/v1/audio-analysis/3Hvhm0NXjx5mI0OOkPk06E,Zeca Pagodinho,0.529,212493.0,0.775,3Hvhm0NXjx5mI0OOkPk06E,0.0,11.0,0.779,-7.158,0.0,Maneiras - Ao Vivo,0.0606,153.423,4.0,https://api.spotify.com/v1/tracks/3Hvhm0NXjx5mI0OOkPk06E,audio_features,spotify:track:3Hvhm0NXjx5mI0OOkPk06E,0.564,
4,0.497,https://api.spotify.com/v1/audio-analysis/4oNk9WpCEytgOdYms1x5Fr,Elza Soares,0.459,199560.0,0.615,4oNk9WpCEytgOdYms1x5Fr,0.0,11.0,0.118,-9.581,0.0,Vou Festejar,0.0841,97.961,3.0,https://api.spotify.com/v1/tracks/4oNk9WpCEytgOdYms1x5Fr,audio_features,spotify:track:4oNk9WpCEytgOdYms1x5Fr,0.83,
5,0.649,https://api.spotify.com/v1/audio-analysis/0UvD9Oziehfgu0k8qyqSIj,Arlindo Cruz,0.541,214280.0,0.866,0UvD9Oziehfgu0k8qyqSIj,0.0,0.0,0.893,-6.088,1.0,O Show Tem Que Continuar,0.0501,97.958,4.0,https://api.spotify.com/v1/tracks/0UvD9Oziehfgu0k8qyqSIj,audio_features,spotify:track:0UvD9Oziehfgu0k8qyqSIj,0.748,
6,0.707,https://api.spotify.com/v1/audio-analysis/4t4oqMSwwmpHzQIu1aok1z,Seu Jorge,0.795,248080.0,0.926,4t4oqMSwwmpHzQIu1aok1z,0.0,9.0,0.0858,-5.034,0.0,Amiga Da Minha Mulher,0.136,104.037,4.0,https://api.spotify.com/v1/tracks/4t4oqMSwwmpHzQIu1aok1z,audio_features,spotify:track:4t4oqMSwwmpHzQIu1aok1z,0.798,
7,0.118,https://api.spotify.com/v1/audio-analysis/5uf6unkyDGYdvvFSJpiuw9,Beth Carvalho,0.526,200147.0,0.978,5uf6unkyDGYdvvFSJpiuw9,7.99e-05,11.0,0.971,-3.73,0.0,Vou Festejar (Ao Vivo),0.207,145.508,4.0,https://api.spotify.com/v1/tracks/5uf6unkyDGYdvvFSJpiuw9,audio_features,spotify:track:5uf6unkyDGYdvvFSJpiuw9,0.806,
8,0.45,https://api.spotify.com/v1/audio-analysis/3KVuaB6BpexCKpNjQHVxZq,Martinho da Vila e Convidados,0.779,188440.0,0.555,3KVuaB6BpexCKpNjQHVxZq,0.0,11.0,0.109,-10.446,0.0,"Canta, Canta, Minha Gente",0.255,92.075,4.0,https://api.spotify.com/v1/tracks/3KVuaB6BpexCKpNjQHVxZq,audio_features,spotify:track:3KVuaB6BpexCKpNjQHVxZq,0.861,
9,0.554,https://api.spotify.com/v1/audio-analysis/20mp3n96JEEsoXUcddc8pM,Almir Guineto,0.649,199640.0,0.757,20mp3n96JEEsoXUcddc8pM,0.0,2.0,0.0988,-7.936,1.0,Conselho,0.206,91.732,4.0,https://api.spotify.com/v1/tracks/20mp3n96JEEsoXUcddc8pM,audio_features,spotify:track:20mp3n96JEEsoXUcddc8pM,0.824,
